investidor_idx;idade;investidor_risco_score;investidor_horiz_max_meses;investidor_liq_lim_dias;produto_idx;produto_nome;produto_risco_score;produto_horiz_min_meses;produto_liquidez_dias;produto_volatilidade;produto_retorno_anual;aceita_ir_ok;score;motivos
0;40;1;12;0;0;Poupança;1;0;0;1.0;6.17;1;4.518720000003359;"diff_risco=0; horiz_ok=1; liq_ok=1; aceita_ir_ok=1; vol=1.0; ret=6.2"
0;40;1;12;0;1;LCI Imobiliária 1 ano;2;12;90;2.0;10.0;1;-7.499999999992533;"diff_risco=1; horiz_ok=1; liq_ok=0; aceita_ir_ok=1; vol=2.0; ret=10.0"
0;40;1;12;0;2;LCA Agronegócio 2 anos;2;24;90;2.0;11.0;1;-9.483999999992854;"diff_risco=1; horiz_ok=0; liq_ok=0; aceita_ir_ok=1; vol=2.0; ret=11.0"
0;40;1;12;0;3;LCI 3 anos;2;36;120;3.0;12.0;1;-9.54799999998784;"diff_risco=1; horiz_ok=0; liq_ok=0; aceita_ir_ok=1; vol=3.0; ret=12.0"
0;40;1;12;0;4;LCA 3 anos;2;36;120;3.0;12.0;1;-9.54799999998784;"diff_risco=1; horiz_ok=0; liq_ok=0; aceita_ir_ok=1; vol=3.0; ret=12.0"
0;40;1;12;0;5;CRI Corporativo;3;36;180;3.0;13.0;1;-13.03199999998816;"diff_risco=2; horiz_ok=0; liq_ok=0; aceita_ir_ok=1; vol=3.0; ret=13.0"
0;40;1;12;0;6;CRA Agro;3;36;180;3.0;13.0;1;-13.03199999998816;"diff_risco=2; horiz_ok=0; liq_ok=0; aceita_ir_ok=1; vol=3.0; ret=13.0"
0;40;1;12;0;7;Debênture Incentivada Infra;3;36;90;4.0;14.0;1;-13.095999999983146;"diff_risco=2; horiz_ok=0; liq_ok=0; aceita_ir_ok=1; vol=4.0; ret=14.0"
0;40;1;12;0;8;Debênture Incentivada Energia;3;48;90;4.0;14.0;1;-13.095999999983146;"diff_risco=2; horiz_ok=0; liq_ok=0; aceita_ir_ok=1; vol=4.0; ret=14.0"
0;40;1;12;0;9;COE Protegido Isento;3;12;30;2.0;12.0;1;-10.967999999993173;"diff_risco=2; horiz_ok=1; liq_ok=0; aceita_ir_ok=1; vol=2.0; ret=12.0"
0;40;1;12;0;10;COE Agro Isento;3;12;30;3.0;13.0;1;-11.03199999998816;"diff_risco=2; horiz_ok=1; liq_ok=0; aceita_ir_ok=1; vol=3.0; ret=13.0"
0;40;1;12;0;11;FII Papel (CRI);3;18;30;3.0;12.0;1;-13.04799999998784;"diff_risco=2; horiz_ok=0; liq_ok=0; aceita_ir_ok=1; vol=3.0; ret=12.0"
0;40;1;12;0;12;FII Agro;3;18;30;3.0;11.0;1;-13.063999999987521;"diff_risco=2; horiz_ok=0; liq_ok=0; aceita_ir_ok=1; vol=3.0; ret=11.0"
0;40;1;12;0;13;CDB Liquidez Diária;1;0;0;1.0;10.0;1;4.5800000000021335;"diff_risco=0; horiz_ok=1; liq_ok=1; aceita_ir_ok=1; vol=1.0; ret=10.0"
0;40;1;12;0;14;Tesouro Selic;1;0;0;1.0;9.0;1;4.564000000002453;"diff_risco=0; horiz_ok=1; liq_ok=1; aceita_ir_ok=1; vol=1.0; ret=9.0"
0;40;1;12;0;15;Tesouro IPCA 2030;2;60;60;3.0;12.0;1;-9.54799999998784;"diff_risco=1; horiz_ok=0; liq_ok=0; aceita_ir_ok=1; vol=3.0; ret=12.0"
0;40;1;12;0;16;Tesouro IPCA 2045;2;120;60;3.0;13.0;1;-9.53199999998816;"diff_risco=1; horiz_ok=0; liq_ok=0; aceita_ir_ok=1; vol=3.0; ret=13.0"
0;40;1;12;0;17;Multimercado Moderado;3;12;30;4.0;16.0;1;-11.063999999983785;"diff_risco=2; horiz_ok=1; liq_ok=0; aceita_ir_ok=1; vol=4.0; ret=16.0"
0;40;1;12;0;18;Multimercado Agressivo;4;6;90;6.0;20.0;1;-14.6599999999744;"diff_risco=3; horiz_ok=1; liq_ok=0; aceita_ir_ok=1; vol=6.0; ret=20.0"
0;40;1;12;0;19;Ações Large Cap;4;6;2;7.0;18.0;1;-14.771999999968427;"diff_risco=3; horiz_ok=1; liq_ok=0; aceita_ir_ok=1; vol=7.0; ret=18.0"
0;40;1;12;0;20;Ações Small & Mid Cap;5;6;2;9.0;25.0;1;-18.31999999996;"diff_risco=4; horiz_ok=1; liq_ok=0; aceita_ir_ok=1; vol=9.0; ret=25.0"
0;40;1;12;0;21;ETF Large Cap Brasil;3;6;2;6.0;16.0;1;-11.223999999973119;"diff_risco=2; horiz_ok=1; liq_ok=0; aceita_ir_ok=1; vol=6.0; ret=16.0"
0;40;1;12;0;22;ETF Small & Mid Cap Brasil;4;6;2;8.0;22.0;1;-14.787999999964372;"diff_risco=3; horiz_ok=1; liq_ok=0; aceita_ir_ok=1; vol=8.0; ret=22.0"
0;40;1;12;0;23;COE Alavancado;4;6;30;8.0;25.0;1;-14.739999999965333;"diff_risco=3; horiz_ok=1; liq_ok=0; aceita_ir_ok=1; vol=8.0; ret=25.0"
0;40;1;12;0;24;Derivativos Simples;5;1;1;12.0;40.0;1;-18.3199999999488;"diff_risco=4; horiz_ok=1; liq_ok=0; aceita_ir_ok=1; vol=12.0; ret=40.0"
